zip_code,owner_occupied,gross_area,total_value,bed_rms,full_bth,half_bth,kitchens,total_num_rooms,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_type_rank,overall_condition_rank,heat_type_rank,land_use_description_rank,zipcode_4tier_rank,adjusted_tax
02128,1,527.0,343500.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,11.0,11.0,1,3,5,1,3,-6.480000000000018
02128,1,603.0,431500.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,12.0,11.0,1,3,5,1,3,1012.5600000000004
02128,0,647.0,422900.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,12.0,11.0,1,3,5,1,3,4897.18
02128,0,3637.0,1019000.0,6.0,3.0,0.0,3.0,13.0,0.0,0.0,3.0,135.0,12.0,0,4,6,4,3,11800.02
02128,1,5173.0,879400.0,5.0,3.0,0.0,3.0,14.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,3,6199.240000000001
02128,0,5187.0,1162300.0,9.0,4.0,0.0,4.0,17.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,13459.43
02128,0,3388.0,799200.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9254.74
02128,0,3388.0,795800.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,9215.36
02128,0,3486.0,810800.0,6.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,3,9389.06
02128,0,3486.0,765700.0,5.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,8866.81
02128,1,2466.0,452900.0,3.0,2.0,1.0,2.0,6.0,0.0,0.0,2.0,125.0,8.0,0,3,6,3,3,1260.37
02128,0,1918.0,514300.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,125.0,125.0,0,3,6,2,3,5955.59
02128,0,3246.0,691000.0,4.0,2.0,0.0,2.0,8.0,0.0,0.0,2.5,85.0,85.0,0,3,6,3,3,8001.78
02128,1,4452.0,1054000.0,9.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,3,8221.11
02128,1,4088.0,941700.0,5.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,125.0,23.0,0,3,6,4,3,6920.669999999999
