own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
0,4481.0,1053500.0,12199.53,6.0,3.0,0.0,15.0,3.0,0.0,3.0,3.0,125.0,125.0,0,3,6,4,2
1,5092.0,1318300.0,15265.91,9.0,3.0,0.0,16.0,3.0,0.0,0.0,3.0,125.0,125.0,0,4,0,4,2
1,3984.0,793600.0,9189.88,3.0,3.0,0.0,12.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,2,4,2
1,4372.0,965200.0,11177.01,7.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,5200.0,1276400.0,14780.71,9.0,3.0,0.0,18.0,3.0,0.0,0.0,3.0,125.0,5.0,0,4,2,4,2
0,5912.0,1261400.0,14607.01,9.0,3.0,0.0,20.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,6295.0,1343000.0,15551.94,12.0,4.0,0.0,18.0,4.0,0.0,0.0,3.0,115.0,5.0,0,3,6,4,2
1,5800.0,1128400.0,13066.87,9.0,3.0,0.0,18.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,2
1,5360.0,927300.0,10738.13,9.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,126.0,126.0,0,3,2,4,2
0,5415.0,866300.0,10031.75,9.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,95.0,41.0,0,3,6,4,2
0,4354.0,1291400.0,14954.41,9.0,3.0,2.0,15.0,3.0,0.0,3.0,3.0,18.0,18.0,0,4,5,4,2
1,3501.0,896900.0,10386.1,6.0,3.0,0.0,15.0,3.0,0.0,10.0,3.0,125.0,38.0,0,3,6,4,2
0,5028.0,870500.0,10080.39,6.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,1806.0,703200.0,8143.06,2.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,165.0,8.0,0,4,3,1,2
